filename,label,speed_kmh,hit_rate
Train62.csv,Side I,47.79933222436871,0.0
Train176.csv,Normal,31.349953090172544,0.0
Train123.csv,Normal,66.27818021278387,0.0
Train121.csv,Side I,34.928227122611325,0.0
Train177.csv,Normal,56.39787131724396,0.0
Train265.csv,Side II,49.61517277814361,0.0
Train251.csv,Normal,50.149243529253866,0.0
Train185.csv,Side I,66.22477313767287,0.0
Train216.csv,Side II,42.08477518748887,0.0
Train197.csv,Normal,39.30760728171549,0.2
Train89.csv,Normal,69.58941886966753,0.4
Train60.csv,Normal,34.39415637150106,0.4
Train170.csv,Side I,47.318668548369466,0.4
Train180.csv,Side I,66.7588438887831,0.4
Train106.csv,Side I,46.25052704614894,0.6
Train169.csv,Normal,58.320526021240916,0.6
Train43.csv,Side II,46.67778364703714,0.6
Train126.csv,Normal,66.06455191233977,0.8
Train217.csv,Side II,46.99822609770331,0.8
Train222.csv,Normal,43.1529166897094,0.8
Train150.csv,Side I,46.784597797259195,0.8
Train26.csv,Side II,46.62437657192611,0.8
Train130.csv,Normal,67.02587926433823,0.8
Train104.csv,Side II,50.68331428036413,1.0
Train12.csv,Side II,52.018491158139796,1.0
Train103.csv,Side II,62.21924250434585,1.0
Train100.csv,Side I,46.51756242170406,1.0
Train93.csv,Side II,58.534154321685016,1.0
Train72.csv,Side II,65.37025993589641,1.0
Train83.csv,Side I,49.187916177255396,1.0
Train2.csv,Side II,48.06636759992384,1.0
Train53.csv,Side II,50.843535505697204,1.0
Train179.csv,Side II,48.173181750145886,1.0
Train163.csv,Side I,46.46415534659303,1.0
Train164.csv,Side II,66.65202973856105,1.0
Train137.csv,Side I,44.80853601815122,1.0
Train127.csv,Side II,60.40340195057095,1.0
Train111.csv,Side II,50.736721355475154,1.0
Train30.csv,Side II,49.561765703032584,1.0
Train188.csv,Side II,43.954022816374795,1.0
Train207.csv,Side II,49.24132325236642,1.0
Train202.csv,Side I,66.97247218922722,1.0
Train199.csv,Side II,50.09583645414284,1.0
Train198.csv,Side II,56.718313767910125,1.0
Train194.csv,Side I,45.66304921992764,1.0
Train213.csv,Side I,36.6906606012752,1.0
Train248.csv,Side II,54.26158831280291,1.0
Train240.csv,Side II,46.94481902259229,1.0
Train267.csv,Side II,63.87486183278768,1.0
